car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price
89,Dacia,Model B,2025,0,Diesel,Manual,4,20,15391
90,Fiat,Model C,2022,11661,Petrol,Automatic,1,1,14711
91,Dacia,Model B,2011,182133,Petrol,Manual,7,20,2885
92,BMW,Model B,2025,15365,Hybrid,Automatic,4,20,30343
93,VW,Model C,2025,0,Petrol,Automatic,1,30,29366
94,Audi,Model C,2023,28730,Diesel,Automatic,1,10,26492
95,Mercedes,Model A,2025,0,Petrol,Manual,9,10,27259
96,Hyundai,Model C,2022,50774,Hybrid,Automatic,6,30,22691
97,Toyota,Model C,2022,24250,Petrol,Manual,4,20,21213
98,Fiat,Model C,2021,59778,Petrol,Manual,11,30,10017
99,BMW,Model C,2002,250000,Petrol,Automatic,11,1,500
100,Hyundai,Model B,2010,195471,Petrol,Manual,6,20,6605
101,Mercedes,Model B,2003,250000,Petrol,Automatic,4,30,713
102,Mercedes,Model C,2024,279,Petrol,Automatic,7,1,25562
103,Honda,Model B,2020,70370,Diesel,Automatic,10,20,11358
104,Toyota,Model A,2022,27144,Petrol,Manual,1,20,18745
105,Honda,Model B,2025,11243,Petrol,Automatic,8,20,29366
106,Dacia,Model C,2018,79888,Hybrid,Automatic,9,1,7095
107,VW,Model C,2021,22184,Diesel,Automatic,11,20,15902
108,Toyota,Model B,2025,0,Petrol,Automatic,3,20,27860
109,Mercedes,Model A,2017,89543,Petrol,Manual,3,10,4066
110,Toyota,Model A,2007,236522,Petrol,Automatic,3,30,3707
111,Honda,Model C,2019,85517,Petrol,Manual,12,10,6320
112,Ford,Model A,2015,144357,Petrol,Manual,2,20,1896
113,Audi,Model C,2025,24804,Diesel,Manual,10,20,26415
114,Hyundai,Model C,2025,0,Petrol,Automatic,12,30,22870
115,BMW,Model A,2024,9172,Petrol,Automatic,12,20,27007
116,Ford,Model C,2025,0,Petrol,Automatic,6,1,28206
117,Ford,Model B,2025,0,Petrol,Automatic,11,1,21914
118,Audi,Model B,2016,80377,Diesel,Automatic,9,1,5612
119,Hyundai,Model B,2025,,Hybrid,Automatic,11,30,29756
120,Ford,Model B,2022,16716,Petrol,Manual,3,1,17023
121,Ford,Model B,2025,0,Petrol,Automatic,10,1,21319
122,Honda,Model B,2025,31736,Petrol,Automatic,8,30,23179
123,Fiat,Model B,2020,52359,Petrol,Manual,7,1,4164
124,VW,Model C,2011,170921,Petrol,Automatic,10,1,500
125,Toyota,Model C,2017,109599,Diesel,Automatic,4,1,500
126,Audi,Model B,2021,52204,Petrol,Automatic,1,30,15922
127,BMW,Model A,2025,4387,Hybrid,Automatic,7,30,29033
128,Mercedes,Model A,2025,0,Petrol,Automatic,4,30,32057
129,Dacia,Model A,2000,250000,Petrol,Automatic,4,1,500
130,Toyota,Model C,2022,21599,Petrol,Automatic,12,30,18071
131,Fiat,Model A,2021,60690,Diesel,Automatic,3,1,8581
132,Mercedes,Model B,2017,69877,Petrol,Automatic,3,20,12104
133,Toyota,Model A,2011,182566,Petrol,Manual,5,30,2355
134,Dacia,Model C,2020,38944,Petrol,Automatic,7,30,10337
135,BMW,Model A,2025,14439,Petrol,Automatic,11,20,30345
136,Ford,Model A,2020,54692,Petrol,Manual,3,20,13691
137,Fiat,Model B,2022,17521,Petrol,Manual,8,10,11135
138,Dacia,Model A,2025,8689,Diesel,Automatic,5,1,16322
139,Hyundai,Model B,2020,73931,Petrol,Manual,10,30,9748
140,Fiat,Model C,2025,0,Diesel,Manual,8,20,24179
141,VW,Model A,2025,3242,Diesel,Automatic,10,30,27572
142,Audi,Model C,2018,49723,Petrol,Manual,11,1,9488
143,VW,Model C,2022,16191,Petrol,Automatic,12,1,16125
144,Dacia,Model C,2020,79386,Petrol,Manual,12,1,9476
145,Honda,Model B,2019,68644,Petrol,Automatic,8,30,10905
146,Audi,Model A,2003,236066,Petrol,Automatic,8,1,2069
147,Ford,Model C,2023,13517,Diesel,Manual,2,30,16853
148,VW,Model C,2022,22148,Petrol,Automatic,2,10,16364
149,Audi,Model A,2005,237510,Petrol,Automatic,7,30,500
150,VW,Model C,2019,66438,Petrol,Manual,9,20,8179
151,Ford,Model B,2025,2683,Hybrid,Automatic,4,1,22536
152,Ford,Model C,2017,94958,Petrol,Manual,5,20,4685
153,Toyota,Model A,2014,152396,Diesel,Automatic,9,30,1770
154,Mercedes,Model A,2022,42368,Petrol,Manual,3,1,13793
155,Ford,Model A,2025,6865,Petrol,Automatic,7,30,24223
156,Ford,Model C,2018,101477,Hybrid,Automatic,7,1,6447
157,Toyota,Model A,2024,6168,Petrol,Automatic,12,20,21700
158,Toyota,Model C,2025,0,Petrol,Manual,6,20,26302
159,Toyota,Model B,2017,114104,Petrol,Automatic,3,10,5409
160,Honda,Model C,2025,2037,Diesel,Automatic,3,1,21730
161,Dacia,Model B,2020,62090,Petrol,Automatic,4,30,5474
162,Hyundai,Model A,2024,2500,Petrol,Automatic,4,20,22536
163,Fiat,Model B,2024,2747,Diesel,Automatic,10,20,17864
164,Honda,Model C,2022,48700,Petrol,Manual,8,20,15167
165,Honda,Model B,2009,206769,Petrol,Automatic,9,30,500
166,Audi,Model B,2025,,Petrol,Automatic,8,30,30141
167,VW,Model A,2020,71894,Petrol,Manual,7,30,12374
168,Toyota,Model B,2016,116535,Petrol,Manual,12,30,7721
169,VW,Model C,2004,250000,Diesel,Manual,11,10,500
170,Toyota,Model B,2023,6410,Petrol,Manual,3,30,17136
171,Mercedes,Model C,2024,30154,Petrol,Automatic,6,20,28877
172,Mercedes,Model C,2001,250000,Petrol,Manual,4,1,1013
173,Hyundai,Model B,2022,41549,Hybrid,Automatic,10,30,13491
174,Audi,Model C,2017,83939,Petrol,Manual,5,10,4554
175,Audi,Model C,2024,2110,Petrol,Automatic,9,30,20668
176,Fiat,Model B,2015,116457,Hybrid,Automatic,4,30,3733
177,VW,Model A,2024,0,Diesel,Manual,3,10,21723
178,Mercedes,Model C,2021,59967,Diesel,Manual,1,1,15392
179,Mercedes,Model A,2025,0,Petrol,Manual,12,10,27219
180,Audi,Model B,2013,145488,Petrol,Automatic,3,20,7008
181,Ford,Model A,2020,61987,Petrol,Automatic,11,1,6328
182,Hyundai,Model A,2011,,Petrol,Manual,11,20,3573
183,Audi,Model A,2025,0,Petrol,Automatic,3,1,30169
184,Fiat,Model C,2025,3835,Petrol,Manual,6,30,21821
185,Mercedes,Model A,2018,90430,Petrol,Automatic,11,1,5921
186,Audi,Model C,2024,8935,Diesel,Automatic,9,1,26371
187,Dacia,Model C,2025,10153,Diesel,Manual,5,10,17656
188,Mercedes,Model C,2023,22360,Petrol,Manual,12,10,18094
189,Fiat,Model C,2022,36204,Petrol,Manual,5,1,11555
190,VW,Model B,2018,87774,Diesel,Automatic,3,1,6220
191,BMW,Model A,2009,205904,Petrol,Manual,2,1,500
192,Honda,Model C,2025,0,Petrol,Manual,9,30,26110
193,Honda,Model C,2025,0,Hybrid,Manual,1,30,23064
194,Dacia,Model C,2024,1966,Petrol,Manual,11,30,14456
195,Toyota,Model A,2020,55017,Petrol,Manual,4,20,8780
196,Honda,Model B,2020,81393,Diesel,Automatic,5,30,17260
197,Mercedes,Model A,2025,8590,Petrol,Automatic,11,20,34665
198,Ford,Model C,2025,0,Petrol,Manual,11,1,26710
199,Audi,Model A,2025,0,Hybrid,Manual,6,10,29545
200,BMW,Model A,2025,5591,Petrol,Automatic,7,20,31472
201,Dacia,Model A,2024,0,Petrol,Manual,9,20,14890
202,Audi,Model B,2008,193119,Diesel,Manual,9,1,500
203,Mercedes,Model C,2015,140174,Petrol,Automatic,7,30,1030
204,VW,Model B,2025,0,Petrol,Automatic,11,30,20929
205,Hyundai,Model B,2023,38320,Petrol,Manual,11,10,11399
206,BMW,Model A,2000,250000,Petrol,Automatic,11,30,500
207,Mercedes,Model C,2010,168998,Diesel,Automatic,4,20,1481
208,BMW,Model C,2024,0,Diesel,Manual,4,1,22724
209,BMW,Model C,2000,250000,Petrol,Manual,2,30,3676
210,VW,Model C,2015,103670,Petrol,Automatic,11,1,5125
211,Ford,Model B,2023,25815,Petrol,Manual,1,1,15895
212,VW,Model C,2024,8915,Petrol,Automatic,2,30,21353
213,Honda,Model C,2024,17408,Petrol,Automatic,12,1,18363
214,Hyundai,Model B,2017,116954,Petrol,Manual,2,20,4238
215,Honda,Model C,2025,12262,Diesel,Manual,2,1,17329
216,Fiat,Model C,2017,103338,Petrol,Automatic,12,1,2637
217,Honda,Model A,2020,30509,Diesel,Automatic,4,1,7811
218,Hyundai,Model C,2025,6650,Petrol,Manual,12,1,24492
219,Toyota,Model A,2024,37839,Diesel,Manual,5,30,17016
220,Honda,Model B,2025,0,Diesel,Automatic,5,1,24485
221,Hyundai,Model A,2024,22340,Petrol,Automatic,2,20,24673
222,Mercedes,Model B,2023,21609,Petrol,Automatic,12,1,18475
223,Ford,Model C,2009,179253,Petrol,Automatic,10,30,989
224,VW,Model A,2020,72016,Petrol,Automatic,3,1,12546
225,Hyundai,Model A,2018,109645,Petrol,Automatic,10,20,3551
226,Ford,Model A,2018,95628,Petrol,Automatic,2,1,8847
227,Honda,Model B,2025,0,Petrol,Automatic,7,30,28924
228,Audi,Model A,2021,33847,Petrol,Automatic,4,30,15188
229,Fiat,Model C,2025,2169,Petrol,Automatic,11,1,20674
230,Toyota,Model C,2024,25097,Hybrid,Manual,7,10,21981
231,Hyundai,Model A,2025,,Petrol,Automatic,12,20,22729
232,BMW,Model C,2022,31644,Petrol,Manual,8,1,18206
233,Audi,Model B,2023,66330,Petrol,Manual,7,1,18535
234,Toyota,Model A,2022,52179,Petrol,Automatic,9,1,22877
235,VW,Model A,2016,125251,Petrol,Automatic,10,1,1241
236,Toyota,Model C,2025,0,Petrol,Manual,1,30,26075
237,BMW,Model B,2019,61392,Petrol,Automatic,7,1,7193
238,Mercedes,Model A,2002,250000,Petrol,Automatic,10,20,500
239,Audi,Model A,2024,0,Petrol,Manual,6,10,19661
240,Mercedes,Model C,2015,144005,Petrol,Automatic,1,10,5923
241,Audi,Model B,2025,21154,Petrol,Manual,1,1,26715
242,Hyundai,Model B,2025,0,Petrol,Manual,10,20,18512
243,Toyota,Model C,2025,26758,Petrol,Automatic,3,1,24266
244,Toyota,Model C,2020,59936,Petrol,Automatic,3,30,9100
245,Dacia,Model B,2001,250000,Petrol,Automatic,4,1,697
246,Honda,Model B,2025,2170,Petrol,Manual,2,20,21469
247,Fiat,Model B,2021,56642,Petrol,Automatic,1,30,11244
248,Toyota,Model A,2025,20998,Diesel,Automatic,11,30,30173
249,Toyota,Model C,2025,19164,Petrol,Automatic,4,10,26452
250,Toyota,Model B,2025,7660,Hybrid,Automatic,8,10,25138
251,Honda,Model B,2019,69882,Petrol,Automatic,11,20,11175
252,Ford,Model B,2021,55711,Petrol,Automatic,12,10,10641
253,Audi,Model C,2025,0,Petrol,Automatic,9,10,28849
254,Hyundai,Model A,2020,62282,Petrol,Manual,12,20,5418
255,Honda,Model A,2015,103360,Petrol,Manual,6,10,4010
256,BMW,Model C,2023,0,Hybrid,Manual,10,20,20133
257,Ford,Model A,2025,756,Petrol,Automatic,12,10,26224
258,Hyundai,Model B,2024,30934,Petrol,Automatic,1,10,17513
259,Audi,Model B,2023,37887,Diesel,Manual,4,20,21095
260,BMW,Model B,2009,190771,Diesel,Automatic,10,30,500
261,Hyundai,Model A,2023,50204,Petrol,Automatic,4,10,17445
262,Dacia,Model A,2025,0,Petrol,Automatic,1,30,24312
263,BMW,Model C,2014,,Hybrid,Automatic,11,30,5361
264,Dacia,Model C,2022,3268,Petrol,Automatic,3,20,14826
265,Toyota,Model B,2025,0,Petrol,Automatic,5,20,23700
266,Dacia,Model C,2025,12249,Hybrid,Automatic,12,10,26660
267,Ford,Model C,2024,743,Diesel,Manual,3,20,25871
268,Fiat,Model A,2025,6914,Petrol,Automatic,12,20,20887
269,Hyundai,Model B,2020,84694,Petrol,Manual,6,30,9903
270,BMW,Model C,2019,55498,Diesel,Manual,12,1,10213
271,BMW,Model C,2025,7177,Petrol,Manual,11,30,24099
272,Honda,Model A,2025,8084,Petrol,Manual,6,30,26897
273,Mercedes,Model B,2025,0,Hybrid,Automatic,12,1,30446
274,Honda,Model A,2025,20313,Petrol,Manual,8,30,18172
275,Dacia,Model A,2022,31684,Diesel,Manual,6,10,8723
276,Toyota,Model B,2022,30243,Diesel,Automatic,7,10,18295
277,Honda,Model C,2025,31674,Diesel,Automatic,1,1,25436
278,Toyota,Model A,2024,19841,Hybrid,Automatic,11,30,29121
279,Ford,Model B,2025,13879,Petrol,Automatic,4,30,27104
280,Mercedes,Model A,2025,,Diesel,Manual,4,1,26537
281,Audi,Model C,2025,0,Diesel,Automatic,9,10,23116
282,Fiat,Model C,2020,78747,Hybrid,Automatic,5,30,12739
283,Hyundai,Model A,2020,52471,Diesel,Manual,7,30,11127
284,Hyundai,Model C,2009,183830,Diesel,Automatic,6,30,749
285,Hyundai,Model A,2023,19920,Petrol,Manual,7,30,16866
286,Honda,Model A,2003,250000,Petrol,Manual,3,1,500
287,VW,Model B,2022,48332,Petrol,Manual,12,1,12768
288,Toyota,Model B,2023,28008,Petrol,Manual,8,10,18545
289,Mercedes,Model A,2019,64631,Petrol,Manual,3,1,13580
290,Toyota,Model A,2023,34117,Petrol,Manual,2,30,17455
291,Mercedes,Model A,2003,250000,Hybrid,Automatic,7,30,1743
292,Toyota,Model A,2003,250000,Petrol,Automatic,6,30,500
293,Toyota,Model A,2025,730,Petrol,Automatic,12,30,24609
294,Ford,Model B,2020,66951,Diesel,Manual,3,1,8115
295,Toyota,Model A,2012,161847,Petrol,Manual,12,30,4534
296,VW,Model B,2022,30551,Petrol,Automatic,10,1,22985
297,Honda,Model C,2025,12706,Petrol,Manual,6,30,24949
298,Fiat,Model A,2017,92664,Petrol,Manual,11,10,8473
299,BMW,Model B,2024,2175,Hybrid,Manual,11,10,31557
300,VW,Model B,2008,181979,Diesel,Automatic,9,30,647
301,VW,Model C,2005,250000,Diesel,Automatic,2,30,500
302,Dacia,Model C,2022,36185,Diesel,Automatic,3,1,14297
303,Toyota,Model C,2023,27163,Petrol,Automatic,8,1,21353
304,Toyota,Model A,2024,27687,Diesel,Automatic,4,10,21952
305,Mercedes,Model A,2025,0,Diesel,Manual,7,20,26715
306,Audi,Model A,2025,0,Hybrid,Automatic,8,10,32933
307,Honda,Model C,2022,37046,Petrol,Automatic,8,1,16573
308,Hyundai,Model B,2020,64619,Petrol,Manual,8,20,5644
309,Toyota,Model B,2025,0,Petrol,Automatic,5,1,24131
310,Mercedes,Model C,2019,94106,Petrol,Manual,3,30,13791
311,Audi,Model A,2021,10707,Petrol,Manual,7,10,15808
312,Mercedes,Model B,2007,232800,Petrol,Manual,7,20,2883
313,Fiat,Model B,2002,250000,Petrol,Manual,4,10,500
314,Fiat,Model B,2025,6851,Petrol,Manual,1,20,20759
315,Toyota,Model B,2025,0,Petrol,Automatic,3,1,26643
316,Audi,Model A,2024,31258,Petrol,Automatic,7,30,22628
317,Fiat,Model A,2021,32603,Hybrid,Automatic,7,1,17469
318,BMW,Model A,2015,112384,Diesel,Automatic,2,1,500
319,Ford,Model B,2015,117441,Petrol,Automatic,8,20,500
320,Fiat,Model A,2018,90111,Diesel,Automatic,6,1,1791
321,Honda,Model B,2023,33591,Petrol,Manual,9,20,12659
322,BMW,Model A,2025,13392,Petrol,Manual,12,1,27416
323,Audi,Model B,2024,24237,Petrol,Automatic,4,30,27003
324,Fiat,Model C,2019,75793,Petrol,Automatic,5,1,8572
325,BMW,Model A,2025,6238,Petrol,Manual,9,10,28532
326,Toyota,Model C,2025,0,Petrol,Manual,12,30,20948
327,Hyundai,Model A,2023,12734,Petrol,Automatic,7,1,20806
328,Hyundai,Model C,2023,37431,Diesel,Automatic,3,1,20075
329,Honda,Model C,2021,60558,Petrol,Automatic,12,20,11454
330,Audi,Model C,2018,94856,Hybrid,Automatic,6,1,9835
331,Ford,Model A,2020,52283,Petrol,Manual,6,30,10512
332,Audi,Model B,2025,13657,Petrol,Automatic,7,10,27293
333,Audi,Model B,2001,250000,Diesel,Automatic,4,20,500
334,Hyundai,Model B,2011,184160,Diesel,Automatic,10,10,1163
335,Mercedes,Model A,2004,248086,Petrol,Manual,9,10,2586
336,BMW,Model B,2004,250000,Petrol,Automatic,12,20,2244
337,Toyota,Model A,2025,0,Petrol,Automatic,3,10,28593
338,Honda,Model B,2025,26451,Petrol,Manual,8,30,20251
339,VW,Model C,2022,30578,Petrol,Manual,7,20,19299
340,Hyundai,Model C,2009,186307,Petrol,Manual,12,30,500
341,VW,Model C,2022,38922,Petrol,Automatic,1,10,16310
342,Ford,Model A,2022,25543,Petrol,Manual,10,30,14471
343,VW,Model C,2015,35674,Petrol,Automatic,8,30,6433
344,Audi,Model C,2021,36935,Diesel,Automatic,8,30,19165
345,Toyota,Model B,2021,37484,Diesel,Automatic,11,10,13602
346,Ford,Model A,2023,31303,Petrol,Automatic,8,1,14217
347,BMW,Model B,2024,0,Petrol,Automatic,9,1,26432
348,Toyota,Model C,2004,240477,Petrol,Manual,9,10,500
349,Toyota,Model C,2020,39408,Petrol,Automatic,1,20,14981
350,Honda,Model B,2024,4441,Petrol,Manual,2,30,23106
351,Honda,Model A,2022,55674,Diesel,Manual,5,1,12552
352,VW,Model A,2025,0,Petrol,Manual,9,1,20481
353,Honda,Model B,2024,1025,Petrol,Manual,1,1,20831
354,Fiat,Model B,2015,122908,Petrol,Manual,10,1,1395
355,Toyota,Model A,2007,210438,Petrol,Manual,3,30,521
356,Honda,Model C,2024,45422,Petrol,Manual,7,10,22555
357,BMW,Model C,2002,250000,Hybrid,Automatic,3,30,1080
358,Toyota,Model A,2023,29028,Petrol,Automatic,3,1,20467
359,Fiat,Model B,2025,14156,Petrol,Automatic,5,30,20576
360,Toyota,Model C,2023,37868,Petrol,Manual,12,20,15591
361,Audi,Model A,2021,51499,Petrol,Automatic,3,20,16460
362,Honda,Model C,2024,9583,Petrol,Automatic,1,30,26736
363,BMW,Model B,2021,,Petrol,Automatic,12,30,16139
364,Honda,Model C,2023,22503,Petrol,Manual,6,30,16332
365,Toyota,Model A,2025,0,Diesel,Manual,8,10,18797
366,Toyota,Model B,2021,,Hybrid,Manual,12,30,10244
367,Hyundai,Model A,2025,0,Petrol,Manual,10,30,18420
368,VW,Model A,2025,12324,Petrol,Automatic,10,30,23266
369,Honda,Model C,2016,,Diesel,Automatic,7,10,2476
370,Ford,Model A,2006,227914,Petrol,Automatic,9,10,2165
371,Hyundai,Model A,2010,176927,Hybrid,Automatic,12,20,500
372,VW,Model C,2001,250000,Petrol,Automatic,12,1,500
373,Mercedes,Model C,2009,164525,Petrol,Manual,8,10,500
374,Toyota,Model C,2024,0,Petrol,Automatic,2,30,21322
375,Toyota,Model B,2007,213958,Petrol,Automatic,12,10,500
376,Mercedes,Model C,2020,57037,Petrol,Manual,3,20,11978
377,BMW,Model C,2025,0,Petrol,Automatic,5,10,36021
378,Mercedes,Model B,2002,250000,Petrol,Automatic,2,20,777
379,Hyundai,Model B,2025,0,Diesel,Automatic,3,20,23605
380,Honda,Model C,2019,77357,Petrol,Automatic,10,20,11473
381,Toyota,Model C,2011,133177,Petrol,Manual,2,1,1132
382,Ford,Model C,2024,3484,Hybrid,Automatic,3,30,26639
383,VW,Model A,2024,2994,Petrol,Manual,3,10,22294
384,Toyota,Model C,2025,15244,Petrol,Manual,5,10,16574
385,Honda,Model C,2025,26329,Diesel,Automatic,9,1,20489
386,BMW,Model C,2025,0,Petrol,Automatic,9,1,31813
387,Ford,Model B,2019,92860,Diesel,Manual,10,30,9193
388,Toyota,Model A,2015,115258,Petrol,Automatic,10,1,500
389,Honda,Model C,2025,0,Petrol,Automatic,1,1,26813
390,Toyota,Model C,2025,26188,Diesel,Manual,9,30,18884
391,Ford,Model C,2025,7811,Petrol,Automatic,9,20,25245
392,Ford,Model B,2021,48066,Petrol,Manual,1,10,18381
393,Toyota,Model C,2020,70307,Petrol,Automatic,6,1,12165
394,BMW,Model C,2025,4113,Petrol,Automatic,1,10,34497
395,Ford,Model B,2020,58961,Petrol,Manual,3,1,8007
396,Fiat,Model B,2025,0,Petrol,Automatic,7,10,24758
397,Hyundai,Model B,2025,0,Petrol,Automatic,1,1,29432
398,Dacia,Model B,2021,57348,Petrol,Manual,2,10,10542
399,Mercedes,Model B,2025,0,Petrol,Automatic,2,1,30242
400,Audi,Model B,2025,4060,Petrol,Automatic,2,1,33461
401,Honda,Model B,2010,185754,Petrol,Automatic,1,20,2852
402,Audi,Model B,2025,0,Petrol,Automatic,8,1,30335
403,BMW,Model B,2022,16212,Petrol,Manual,3,30,18454
404,Toyota,Model C,2025,0,Petrol,Automatic,11,20,23123
405,Toyota,Model A,2020,52136,Petrol,Manual,12,30,13282
406,Audi,Model C,2025,5044,Diesel,Automatic,9,30,33211
407,Dacia,Model B,2021,37227,Petrol,Manual,1,1,6454
408,Audi,Model C,2001,250000,Hybrid,Automatic,12,20,4850
409,Mercedes,Model B,2025,15796,Petrol,Manual,6,30,26158
410,Mercedes,Model A,2009,194223,Petrol,Manual,3,30,500
411,Hyundai,Model A,2020,49459,Petrol,Automatic,10,30,5344
412,VW,Model B,2025,264,Petrol,Automatic,5,1,31672
413,Mercedes,Model B,2025,20683,Petrol,Automatic,7,30,31926
414,Audi,Model C,2023,28406,Petrol,Manual,10,30,19363
415,VW,Model C,2024,20894,Petrol,Manual,2,10,22119
416,Audi,Model B,2021,,Petrol,Manual,3,1,16765
417,Dacia,Model A,2019,87396,Hybrid,Manual,12,30,6725
418,Honda,Model C,2020,94771,Petrol,Automatic,9,20,14468
419,Mercedes,Model C,2024,127,Petrol,Automatic,3,10,25552
420,Fiat,Model A,2025,0,Hybrid,Manual,8,30,20940
421,Toyota,Model A,2025,2633,Diesel,Automatic,3,20,22581
422,Toyota,Model C,2025,13132,Petrol,Automatic,11,30,20718
